Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, P,0.282672,0.288301,0.28835,0.28451,0.280606,0.27807,0.278156,0.275119,0.285897,0.271958,0.268846,0.273158,0.269015,0.274322,0.275458,0.273169,0.267253,0.263981,0.26259,0.268047,0.263289,0.262644,0.267051,0.273669
T0,21/06/2021 16:14:10,750nm,AeraSeal, A,0.286733,0.284691,0.278415,0.258717,0.278869,0.275442,0.273474,0.275027,0.271901,0.280117,0.274127,0.277924,0.274856,0.271674,0.270813,0.270509,0.271455,0.269949,0.268965,0.27347,0.271052,0.269492,0.269786,0.259567
T0,21/06/2021 16:14:10,750nm,AeraSeal, B,0.284867,0.283899,0.282964,0.275793,0.279812,0.279217,0.276428,0.274657,0.276263,0.273128,0.275385,0.279864,0.279845,0.273648,0.275331,0.272306,0.280695,0.270539,0.276373,0.276527,0.262828,0.276947,0.260715,0.263882
T0,21/06/2021 16:14:10,750nm,AeraSeal, C,0.280873,0.279578,0.27939,0.259523,0.277851,0.28015,0.276699,0.279399,0.271379,0.27467,0.274014,0.277482,0.270794,0.270033,0.269883,0.273595,0.273477,0.264919,0.272197,0.269293,0.271654,0.272905,0.272245,0.270118
T0,21/06/2021 16:14:10,750nm,AeraSeal, D,0.27663,0.281705,0.282344,0.276032,0.277249,0.276491,0.276502,0.272073,0.27324,0.27521,0.272497,0.273706,0.274016,0.269747,0.278693,0.271459,0.272087,0.268502,0.279594,0.269473,0.261479,0.277831,0.268719,0.265361
T0,21/06/2021 16:14:10,750nm,AeraSeal, E,0.28352,0.285712,0.281102,0.260661,0.281991,0.278138,0.276478,0.276607,0.276868,0.271633,0.271719,0.279814,0.277661,0.273557,0.272179,0.271551,0.275388,0.267581,0.271651,0.268997,0.272895,0.272543,0.279956,0.279809
T0,21/06/2021 16:14:10,750nm,AeraSeal, F,0.280688,0.281805,0.280661,0.280824,0.278386,0.277045,0.276157,0.274175,0.274438,0.276523,0.274798,0.279946,0.278483,0.276864,0.279622,0.271424,0.275619,0.266426,0.279133,0.272904,0.264874,0.274639,0.275588,0.27141
T0,21/06/2021 16:14:10,750nm,AeraSeal, G,0.279733,0.281913,0.28131,0.259317,0.280828,0.280939,0.279592,0.276373,0.272638,0.278752,0.272771,0.278771,0.275236,0.272982,0.269603,0.271088,0.274113,0.264399,0.27036,0.269268,0.272499,0.266866,0.287826,0.280313
T0,21/06/2021 16:14:10,750nm,AeraSeal, H,0.283271,0.281048,0.281084,0.278061,0.271147,0.278238,0.278842,0.277403,0.275536,0.277178,0.274345,0.277679,0.280985,0.276691,0.278272,0.268677,0.273423,0.264523,0.276023,0.263569,0.257853,0.268098,0.282227,0.271783
T0,21/06/2021 16:14:10,750nm,AeraSeal, I,0.282406,0.277676,0.275357,0.249502,0.27731,0.281447,0.279765,0.271791,0.27246,0.27114,0.265885,0.277741,0.279974,0.275271,0.272665,0.269695,0.267702,0.257656,0.262495,0.263116,0.275348,0.271849,0.272091,0.268151
T0,21/06/2021 16:14:10,750nm,AeraSeal, J,0.27916,0.286974,0.280184,0.278939,0.27529,0.270641,0.280123,0.28041,0.275106,0.281543,0.275712,0.274096,0.278947,0.27417,0.31545,0.263524,0.265462,0.26031,0.27333,0.25634,0.253752,0.267249,0.275876,0.259555
T0,21/06/2021 16:14:10,750nm,AeraSeal, K,0.287721,0.28143,0.28052,0.249834,0.277924,0.273676,0.280966,0.272443,0.27698,0.274248,0.266957,0.277605,0.275515,0.274153,0.27434,0.272547,0.265931,0.263433,0.265577,0.262657,0.278842,0.267042,0.269348,0.268031
T0,21/06/2021 16:14:10,750nm,AeraSeal, L,0.283182,0.284593,0.272508,0.276971,0.272637,0.269921,0.28041,0.280378,0.282393,0.280584,0.272512,0.271481,0.281522,0.274406,0.279783,0.258201,0.258407,0.260224,0.271712,0.256972,0.249416,0.260488,0.273931,0.262883
T0,21/06/2021 16:14:10,750nm,AeraSeal, M,0.290506,0.285564,0.274877,0.24888,0.282258,0.281107,0.279996,0.26412,0.273803,0.267652,0.262435,0.275324,0.275659,0.275868,0.272028,0.269725,0.267116,0.258484,0.264034,0.256632,0.275252,0.273435,0.276512,0.274117
T0,21/06/2021 16:14:10,750nm,AeraSeal, N,0.288151,0.278026,0.28351,0.28052,0.266179,0.271267,0.281586,0.282127,0.282694,0.279221,0.269927,0.268204,0.280772,0.272624,0.287512,0.262101,0.257651,0.260109,0.271433,0.260246,0.248332,0.264369,0.283408,0.266134
T0,21/06/2021 16:14:10,750nm,AeraSeal, O,0.28941,0.285716,0.283872,0.256503,0.282656,0.282728,0.282467,0.270797,0.275188,0.271739,0.265518,0.286478,0.279823,0.27801,0.273983,0.2739,0.267497,0.261362,0.264951,0.262456,0.279747,0.275002,0.277732,0.270676
T0,21/06/2021 16:14:10,750nm,AeraSeal, P,0.293305,0.279948,0.285005,0.286338,0.271389,0.275294,0.285068,0.28143,0.28234,0.284532,0.270804,0.272664,0.280236,0.281858,0.286985,0.26393,0.258302,0.262129,0.275388,0.258515,0.252296,0.26449,0.286985,0.271354
T1,22/06/2021 15:35:50,750nm,Lid, A,0.198476,0.250457,0.24475,0.253924,0.248104,0.259073,0.254772,0.255665,0.241634,0.232784,0.230185,0.225143,0.228946,0.231753,0.222097,0.224707,0.254211,0.231865,0.237085,0.226129,0.226127,0.240562,0.227865,0.216637
T1,22/06/2021 15:35:50,750nm,Lid, B,0.230957,0.292132,0.287297,0.274232,0.273242,0.278657,0.270214,0.255783,0.261265,0.253053,0.252598,0.250198,0.250839,0.262873,0.245058,0.251987,0.237003,0.256264,0.257056,0.262041,0.260124,0.257749,0.254045,0.248191
T1,22/06/2021 15:35:50,750nm,Lid, C,0.24855,0.271798,0.293543,0.299144,0.294165,0.294785,0.288162,0.292413,0.274233,0.273899,0.298261,0.278654,0.306568,0.323575,0.309606,0.320533,0.298678,0.280276,0.274467,0.275534,0.278319,0.289658,0.289531,0.270559
T1,22/06/2021 15:35:50,750nm,Lid, D,0.260878,0.29572,0.307881,0.287328,0.280207,0.285747,0.323978,0.295582,0.294809,0.2924,0.292847,0.28292,0.291996,0.301866,0.303992,0.312087,0.333916,0.311245,0.29465,0.3055,0.292024,0.312537,0.318221,0.307553
T1,22/06/2021 15:35:50,750nm,Lid, E,0.257516,0.294806,0.283965,0.318772,0.277643,0.282078,0.281858,0.29471,0.295933,0.293548,0.305036,0.307704,0.302882,0.327459,0.31546,0.318341,0.306457,0.313804,0.3278,0.308801,0.291334,0.306312,0.327118,0.32366
T1,22/06/2021 15:35:50,750nm,Lid, F,0.276719,0.31293,0.305308,0.271781,0.276677,0.311001,0.296782,0.305402,0.318057,0.314337,0.313675,0.31204,0.316277,0.324045,0.318569,0.310376,0.317369,0.311367,0.307665,0.309648,0.31396,0.302572,0.343904,0.354964
T1,22/06/2021 15:35:50,750nm,Lid, G,0.286406,0.262954,0.31567,0.281247,0.289965,0.328204,0.313484,0.317366,0.331104,0.317222,0.32937,0.326687,0.327127,0.321493,0.318245,0.318731,0.308266,0.308858,0.303959,0.301876,0.309334,0.342084,0.345719,0.308894
T1,22/06/2021 15:35:50,750nm,Lid, H,0.291077,0.314962,0.288881,0.292385,0.300135,0.328236,0.320031,0.324857,0.328154,0.326919,0.332327,0.335391,0.329432,0.320876,0.312714,0.312218,0.306464,0.313806,0.309851,0.314751,0.322972,0.335147,0.349662,0.312047
T1,22/06/2021 15:35:50,750nm,Lid, I,0.292496,0.315738,0.279715,0.286071,0.291984,0.309248,0.32567,0.327364,0.319653,0.325973,0.330004,0.334958,0.328354,0.325181,0.315773,0.313663,0.30278,0.303886,0.292861,0.293244,0.295537,0.287086,0.300223,0.296392
T1,22/06/2021 15:35:50,750nm,Lid, J,0.268893,0.315877,0.272467,0.281574,0.295244,0.297173,0.308364,0.326589,0.313942,0.327096,0.318421,0.322646,0.327278,0.32379,0.311371,0.305454,0.305663,0.303323,0.305726,0.295327,0.291406,0.297724,0.313467,0.294508
T1,22/06/2021 15:35:50,750nm,Lid, K,0.291018,0.316364,0.307535,0.284948,0.282269,0.289999,0.315733,0.297288,0.303816,0.315759,0.310673,0.311474,0.318007,0.317761,0.320082,0.313581,0.31007,0.319192,0.2923,0.278517,0.281554,0.280535,0.323872,0.305293
T1,22/06/2021 15:35:50,750nm,Lid, L,0.296549,0.317251,0.300252,0.292181,0.299605,0.275754,0.283588,0.287191,0.285273,0.305915,0.312596,0.316596,0.317683,0.306962,0.316478,0.309421,0.314611,0.300561,0.287521,0.279267,0.247714,0.29155,0.291039,0.286692
T1,22/06/2021 15:35:50,750nm,Lid, M,0.282506,0.298832,0.287484,0.28789,0.273605,0.26016,0.27316,0.266467,0.273083,0.286382,0.290075,0.301268,0.285049,0.291701,0.290773,0.295475,0.294147,0.289204,0.274135,0.258922,0.269555,0.267251,0.282865,0.283435
T1,22/06/2021 15:35:50,750nm,Lid, N,0.263996,0.291989,0.308044,0.294635,0.284251,0.275845,0.268032,0.262265,0.254678,0.264968,0.262371,0.260897,0.256264,0.263245,0.259668,0.274129,0.274886,0.261075,0.250721,0.250541,0.254727,0.254666,0.26475,0.255993
T1,22/06/2021 15:35:50,750nm,Lid, O,0.231135,0.297871,0.287752,0.299778,0.272898,0.267978,0.245207,0.257678,0.234416,0.255588,0.235938,0.252278,0.239842,0.241725,0.228314,0.240662,0.224602,0.229897,0.230199,0.255056,0.242234,0.249479,0.257473,0.228509
T1,22/06/2021 15:35:50,750nm,Lid, P,0.19083,0.205374,0.240572,0.233309,0.223589,0.225095,0.210957,0.208138,0.213962,0.206545,0.181775,0.210054,0.20794,0.217282,0.210763,0.213158,0.214797,0.207366,0.209531,0.203128,0.209702,0.224283,0.215438,0.199092
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, A,0.223177,0.244603,0.244068,0.244138,0.23981,0.241508,0.251676,0.239162,0.24439,0.243109,0.268121,0.257645,0.234157,0.233104,0.234995,0.227522,0.235501,0.224735,0.24144,0.229712,0.218381,0.22479,0.239405,0.247473
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, B,0.2246,0.232107,0.244023,0.246929,0.246065,0.248879,0.244449,0.246823,0.246558,0.245685,0.246047,0.245811,0.250895,0.238571,0.241225,0.235815,0.236857,0.233265,0.231246,0.23291,0.233417,0.23437,0.232638,0.268801
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, C,0.231602,0.234211,0.241849,0.239565,0.248555,0.2536,0.247751,0.245185,0.245379,0.245261,0.250429,0.243358,0.249123,0.247026,0.253402,0.249553,0.243956,0.243666,0.245931,0.249961,0.251392,0.253756,0.246702,0.266849
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, D,0.237729,0.235477,0.238916,0.245684,0.25435,0.248189,0.244173,0.26279,0.25488,0.244772,0.259534,0.254447,0.250851,0.254732,0.254913,0.250496,0.248148,0.248882,0.27032,0.283119,0.284385,0.270483,0.255386,0.283276
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, E,0.235679,0.240866,0.24188,0.241116,0.246968,0.242682,0.244554,0.242954,0.248396,0.253912,0.252016,0.251097,0.263842,0.260337,0.258833,0.269365,0.276733,0.273301,0.283614,0.287984,0.288774,0.264222,0.249072,0.249071
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, F,0.23947,0.239409,0.242169,0.24366,0.245877,0.248107,0.259372,0.251739,0.271105,0.257514,0.261578,0.259333,0.26293,0.26623,0.270233,0.278044,0.28682,0.280814,0.289047,0.295036,0.285448,0.273905,0.257293,0.253672
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, G,0.236177,0.239351,0.241381,0.24178,0.242477,0.248357,0.260524,0.252845,0.271708,0.265237,0.268808,0.264915,0.271771,0.270153,0.279022,0.283736,0.2883,0.290077,0.291207,0.289415,0.291217,0.288402,0.278808,0.256747
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, H,0.23241,0.237259,0.243631,0.251053,0.252078,0.246258,0.254578,0.258248,0.269097,0.284657,0.270457,0.275722,0.273106,0.282416,0.285424,0.29017,0.290722,0.289184,0.289182,0.28508,0.289934,0.290938,0.282763,0.258858
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, I,0.230446,0.236762,0.239145,0.24387,0.250557,0.251555,0.263223,0.266321,0.280584,0.283254,0.283432,0.27493,0.279461,0.287102,0.292136,0.288498,0.29056,0.286386,0.281012,0.279061,0.281302,0.282959,0.285339,0.27126
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, J,0.232071,0.239547,0.250202,0.253459,0.26102,0.259972,0.269479,0.273355,0.294154,0.294659,0.291724,0.293979,0.289697,0.282982,0.283679,0.285734,0.285908,0.284331,0.280568,0.280427,0.279527,0.277053,0.270346,0.263419
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, K,0.230416,0.239465,0.24601,0.252975,0.259646,0.262729,0.283088,0.278084,0.278595,0.271597,0.270183,0.275506,0.280921,0.277864,0.280733,0.278559,0.285071,0.278928,0.279394,0.277977,0.276834,0.270253,0.254001,0.245415
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, L,0.225123,0.240639,0.240522,0.247817,0.248164,0.262395,0.269433,0.261235,0.268349,0.263653,0.263902,0.268895,0.267439,0.266235,0.989779,0.270865,0.27701,0.281277,0.281075,0.281392,0.273695,0.254892,0.24969,0.248594
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, M,0.228995,0.236022,0.242191,0.244094,0.244574,0.25158,0.248006,0.256853,0.250972,0.257601,0.257956,0.259038,0.262211,0.255646,0.259325,0.268196,0.278811,0.282101,0.278746,0.278434,0.268717,0.250066,0.241127,0.252865
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, N,0.230778,0.243479,0.241917,0.241334,0.244834,0.241254,0.243708,0.241173,0.246543,0.24555,0.243146,0.252763,0.245744,0.24628,0.252709,0.25269,0.26598,0.26892,0.27398,0.262685,0.246212,0.238252,0.235359,0.252993
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, O,0.23322,0.233577,0.239418,0.237812,0.242219,0.24275,0.240843,0.239954,0.23297,0.236869,0.239011,0.239099,0.238869,0.236208,0.238566,0.240306,0.244469,0.237376,0.232344,0.243901,0.231688,0.230011,0.225544,0.238211
T1,22/06/2021 15:35:50,750nm,Breathe-Easy, P,0.226784,0.233408,0.237284,0.236521,0.241367,0.243193,0.232273,0.231034,0.235873,0.232168,0.2351,0.228943,0.233494,0.229153,0.232222,0.231524,0.224487,0.227444,0.223264,0.214828,0.223821,0.220947,0.215223,0.222669
T1,22/06/2021 15:35:50,750nm,AeraSeal, A,0.249433,0.259631,0.262559,0.257864,0.283818,0.280397,0.272042,0.273273,0.268388,0.271097,0.272041,0.269114,0.26582,0.269633,0.260874,0.271607,0.274381,0.27201,0.275168,0.270218,0.266859,0.265901,0.261254,0.25511
T1,22/06/2021 15:35:50,750nm,AeraSeal, B,0.24508,0.244796,0.269124,0.282965,0.282266,0.289284,0.290601,0.285067,0.28567,0.281877,0.293193,0.292925,0.29723,0.295651,0.288791,0.285111,0.28124,0.296021,0.300651,0.309737,0.282209,0.291865,0.274476,0.273006
T1,22/06/2021 15:35:50,750nm,AeraSeal, C,0.255648,0.263227,0.275684,0.291509,0.277545,0.289817,0.290986,0.286869,0.290915,0.283372,0.296542,0.295099,0.294846,0.299765,0.297559,0.29613,0.308844,0.304386,0.306529,0.30895,0.302936,0.297864,0.298095,0.280711
T1,22/06/2021 15:35:50,750nm,AeraSeal, D,0.283114,0.260741,0.289516,0.28493,0.277862,0.278232,0.297762,0.290995,0.297377,0.300225,0.30731,0.302444,0.308683,0.30114,0.305281,0.296434,0.306254,0.299616,0.309332,0.276732,0.289737,0.300497,0.291862,0.291813
T1,22/06/2021 15:35:50,750nm,AeraSeal, E,0.253124,0.262991,0.272186,0.261324,0.286502,0.285201,0.292261,0.302494,0.303088,0.305716,0.292055,0.301273,0.301095,0.306868,0.303064,0.301514,0.302498,0.298753,0.301476,0.297552,0.30415,0.306429,0.314485,0.279598
T1,22/06/2021 15:35:50,750nm,AeraSeal, F,0.235515,0.257951,0.269329,0.291475,0.289874,0.288135,0.298913,0.306665,0.303289,0.309458,0.302452,0.300945,0.313133,0.310688,0.309201,0.304232,0.310364,0.304608,0.317438,0.305449,0.300891,0.30165,0.278354,0.299579
T1,22/06/2021 15:35:50,750nm,AeraSeal, G,0.255254,0.269948,0.270261,0.276553,0.293577,0.298707,0.294978,0.302658,0.300623,0.309176,0.299851,0.306864,0.304181,0.31167,0.30286,0.306113,0.302683,0.298343,0.29708,0.295321,0.301928,0.311719,0.315521,0.300931
T1,22/06/2021 15:35:50,750nm,AeraSeal, H,0.269347,0.265753,0.275507,0.289818,0.278476,0.293751,0.301254,0.303623,0.309533,0.304492,0.303642,0.296006,0.305108,0.299441,0.303437,0.297373,0.294237,0.290381,0.302058,0.285775,0.284262,0.299283,0.310919,0.287908
T1,22/06/2021 15:35:50,750nm,AeraSeal, I,0.277637,0.294665,0.28016,0.281353,0.294103,0.292571,0.30007,0.299702,0.304386,0.303433,0.298613,0.303826,0.304338,0.302056,0.297143,0.287345,0.299881,0.294292,0.290956,0.286148,0.283679,0.3117,0.314467,0.301226
T1,22/06/2021 15:35:50,750nm,AeraSeal, J,0.259231,0.298336,0.303357,0.314675,0.299773,0.294429,0.299942,0.308386,0.298145,0.299974,0.304201,0.301576,0.300732,0.293186,0.288095,0.298134,0.295295,0.29706,0.298384,0.29692,0.30363,0.319624,0.304875,0.277159
T1,22/06/2021 15:35:50,750nm,AeraSeal, K,0.261298,0.268615,0.299495,0.30492,0.31275,0.295138,0.312801,0.313871,0.304139,0.305431,0.301521,0.303716,0.299902,0.304167,0.288846,0.291945,0.302627,0.295665,0.289258,0.288564,0.302274,0.303017,0.315392,0.289683
T1,22/06/2021 15:35:50,750nm,AeraSeal, L,0.267612,0.289859,0.316808,0.276122,0.307155,0.298385,0.299379,0.307197,0.297283,0.296346,0.306116,0.29992,0.298799,0.292406,0.289839,0.285423,0.29891,0.286849,0.292977,0.278119,0.309768,0.271063,0.2919,0.273021
