,time,hv,v_lhc,v_pset,v_cbm,v_lpb,v_rib,a_lhc,a_pset,a_cbm,a_lpb,a_rib,a_mai,c_lhc,c_pset,c_cbm,c_lpb,c_rib,c_mai,c_hvi,c_atp,c_nadph,c_pre,c_lip,c_cpm,c_thy,u_lhc,u_pset,u_cbm,u_lpb,u_rib,mu,bm,slk_25,slk_26,rep
13,6.5,82.0,8.4366131307,1.3998878609,0.60044865192,0.051638190907,0.11103043577,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.3,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.3,63.376543736,7.2001807748,7.2001807748,3.9428830665,0.46508140356,0.1,0.36508140356,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.11103043577,2.0841107437,0.0,0.0,8
14,7.0,81.0,8.494045563,1.4047760394,0.60205345997,0.051682264048,0.11120414314,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.3,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.3,63.750048547,7.218459284,7.218459284,3.9491968591,0.46475124569,0.1,0.36475124569,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.11120414314,2.2068141839,0.0,0.0,8
15,7.5,80.0,8.5341812287,1.4095135414,0.60338701026,0.051724805796,0.111371516,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.3,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.3,63.972081402,7.2381750746,7.2381750746,3.9533509491,0.46443478238,0.1,0.36443478238,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.111371516,2.336948958,0.0,0.0,8
16,8.0,79.0,8.5711164571,1.4132805411,0.60459445475,0.051756347163,0.11153230339,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.3,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.3,64.177244602,7.2506893675,7.2506893675,3.9567532523,0.46404804337,0.1,0.36404804337,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.11153230339,2.4749684225,0.0,0.0,8
17,8.5,78.0,8.6107842841,1.4174474151,0.60582762937,0.051792875185,0.11168616665,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.3,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.3,64.406694982,7.2669678804,7.2669678804,3.9606390014,0.46373581205,0.1,0.36373581205,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.11168616665,2.621352848,0.0,0.0,8
18,9.0,77.0,8.6460690972,1.4212490776,0.60693969233,0.05182555635,0.11183274412,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.3,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.3,64.603798076,7.2814933735,7.2814933735,3.9637889183,0.46342023309,0.1,0.36342023309,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.11183274412,2.7766108536,0.0,0.0,8
19,9.5,76.0,8.6797998752,1.4247194568,0.60796839013,0.051854848537,0.11197165826,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.3,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.3,64.793899914,7.2942660611,7.2942660611,3.9665562718,0.46310690887,0.1,0.36310690887,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.11197165826,2.9412809037,0.0,0.0,8
20,10.0,75.0,8.7127942987,1.4281742177,0.60903974693,0.051884450204,0.11210251883,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.3,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.3,64.981769877,7.3070121824,7.3070121824,3.9700515435,0.46283036944,0.1,0.36283036944,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.11210251883,3.115932865,0.0,0.0,8
21,10.5,74.0,8.743103926,1.4314048411,0.60998312789,0.051912009251,0.11222491457,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.3,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.3,65.15219114,7.3194238228,7.3194238228,3.9727916548,0.462571163,0.1,0.362571163,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.11222491457,3.3011696034,0.0,0.0,8
22,11.0,73.0,8.7716523544,1.4344140112,0.61086432084,0.051937614367,0.11233841592,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.3,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.3,65.313706651,7.3309711876,7.3309711876,3.9753835488,0.46233173167,0.1,0.36233173167,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.11233841592,3.4976286335,0.0,0.0,8
