Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T1,10/06/2021 14:00:37,750nm,6000k, D,0.242221,0.251863,0.251258,0.257546,0.265327,0.260477,0.263603,0.264623,0.2619,0.26226,0.263388,0.260354,0.267196,0.264025,0.267313,0.263732,0.27022,0.263318,0.264458,0.259702,0.257808,0.255331,0.254922,0.254023
T1,10/06/2021 14:00:37,750nm,6000k, E,0.254278,0.24808,0.25727,0.267849,0.266208,0.267764,0.270312,0.27254,0.272832,0.27217,0.276385,0.270501,0.271627,0.273406,0.2677,0.268474,0.271054,0.265535,0.263806,0.259716,0.257472,0.255968,0.251881,0.258452
T1,10/06/2021 14:00:37,750nm,6000k, F,0.249683,0.259902,0.253151,0.262946,0.27615,0.274656,0.273475,0.274525,0.275825,0.272144,0.273266,0.270706,0.26946,0.267582,0.272675,0.271494,0.270903,0.261956,0.26695,0.258975,0.260396,0.252198,0.253059,0.25725
T1,10/06/2021 14:00:37,750nm,6000k, G,0.256236,0.247136,0.252773,0.26435,0.266533,0.272833,0.270899,0.272164,0.272504,0.272102,0.273002,0.271619,0.267877,0.286264,0.265011,0.263708,0.264847,0.263624,0.260129,0.258444,0.256306,0.252962,0.253056,0.265026
T1,10/06/2021 14:00:37,750nm,6000k, H,0.24398,0.255714,0.251858,0.255936,0.273411,0.268565,0.273811,0.267554,0.272134,0.268926,0.268601,0.266687,0.2648,0.262989,0.263783,0.26581,0.268063,0.26054,0.261487,0.256647,0.25425,0.25055,0.252946,0.251854
T1,10/06/2021 14:00:37,750nm,6000k, I,0.244948,0.244374,0.24778,0.25069,0.25912,0.261534,0.261253,0.258614,0.265768,0.263382,0.266757,0.264728,0.260478,0.26243,0.260417,0.261882,0.261194,0.261735,0.259157,0.255481,0.252934,0.244255,0.253599,0.254249
T1,10/06/2021 14:00:37,750nm,6000k, J,0.246279,0.259479,0.24907,0.255131,0.272031,0.260701,0.265459,0.262994,0.264541,0.263867,0.263978,0.262321,0.261682,0.263559,0.26174,0.267121,0.263746,0.260535,0.261882,0.255655,0.253343,0.247485,0.252624,0.254262
T1,10/06/2021 14:00:37,750nm,6000k, K,0.250972,0.240295,0.248824,0.255523,0.257117,0.25915,0.260152,0.259106,0.262398,0.263175,0.262863,0.264138,0.26328,0.263199,0.264657,0.264015,0.263319,0.263903,0.25875,0.257701,0.253267,0.249874,0.253724,0.255476
T1,10/06/2021 14:00:37,750nm,6000k, L,0.2481,0.251161,0.24908,0.254308,0.261604,0.253521,0.255613,0.26368,0.25695,0.260687,0.260819,0.256371,0.259448,0.261028,0.261229,0.262268,0.262348,0.258481,0.25884,0.254552,0.254142,0.245499,0.255749,0.252941
T1,10/06/2021 14:00:37,750nm,6000k, M,0.248057,0.245778,0.245522,0.253182,0.250133,0.252127,0.253966,0.255562,0.252454,0.255532,0.260112,0.258855,0.257953,0.25744,0.255952,0.257629,0.254888,0.259774,0.25569,0.253166,0.251272,0.24984,0.259986,0.259702
