strain,Source,Logworth,p-value
UTEX90_C,K2HPO4*CaCl2,0.638,0.2304
UTEX90_C,K2HPO4*EDTA,0.579,0.26389
UTEX90_C,CaCl2*EDTA,0.562,0.2741
UTEX90_C,MgSO4*EDTA,0.372,0.42487
UTEX90_C,K2HPO4*Trace elements,0.294,0.50788
UTEX90_C,EDTA,0.267,0.54095
UTEX90_C,NaNO3*CaCl2,0.168,0.67893
UTEX90_C,EDTA*Citrate,0.14,0.72426
UTEX90_C,MgSO4*Trace elements,0.103,0.78845
UTEX90_C,Na2CO3*Trace elements,0.088,0.81743
UTEX90_C,MgSO4*Na2CO3,0.082,0.82877
UTEX90_C,CaCl2*Trace elements,0.001,0.99798
nostoc,MgSO4*MgSO4,35.974,0
nostoc,MgSO4,35.506,0
nostoc,CaCl2,24.676,0
nostoc,K2HPO4,16.925,0
nostoc,NaNO3,11.474,0
nostoc,K2HPO4*MgSO4,10.152,0
nostoc,NaNO3*MgSO4,9.149,0
nostoc,NaNO3*CaCl2,6.481,0
nostoc,NaNO3*Trace elements,6.374,0
nostoc,MgSO4*CaCl2,5.453,0
nostoc,K2HPO4*Na2CO3,4.974,0.00001
nostoc,NaNO3*Na2CO3,4.486,0.00003
nostoc,Trace elements*Trace elements,3.153,0.0007
nostoc,CaCl2*EDTA,3.085,0.00082
nostoc,Na2CO3*Na2CO3,2.677,0.0021
nostoc,Citrate*Citrate,2.675,0.00211
nostoc,NaNO3*NaNO3,2.578,0.00264
nostoc,Na2CO3,2.577,0.00265
nostoc,EDTA*Citrate,2.538,0.0029
nostoc,Trace elements,2.424,0.00377
nostoc,CaCl2*Citrate,2.274,0.00533
nostoc,Citrate*Trace elements,2.252,0.0056
nostoc,Na2CO3*Citrate,1.927,0.01184
nostoc,EDTA*Trace elements,1.873,0.01338
nostoc,K2HPO4*K2HPO4,1.784,0.01644
nostoc,Citrate,1.701,0.0199
nostoc,MgSO4*Na2CO3,1.671,0.02133
nostoc,K2HPO4*Citrate,1.476,0.03342
nostoc,Na2CO3*Trace elements,1.435,0.03674
nostoc,K2HPO4*Trace elements,1.36,0.0437
nostoc,K2HPO4*EDTA,1.327,0.04713
nostoc,K2HPO4*CaCl2,0.896,0.12693
nostoc,NaNO3*K2HPO4,0.651,0.22349
nostoc,NaNO3*EDTA,0.533,0.29302
nostoc,EDTA*EDTA,0.531,0.29425
nostoc,CaCl2*Trace elements,0.339,0.45833
nostoc,CaCl2*Na2CO3,0.172,0.67341
nostoc,NaNO3*Citrate,0.099,0.79557
nostoc,MgSO4*Trace elements,0.095,0.80262
nostoc,EDTA*Na2CO3,0.063,0.86563
nostoc,CaCl2*CaCl2,0.06,0.87045
nostoc,EDTA,0.048,0.89559
nostoc,MgSO4*EDTA,0.038,0.91581
nostoc,MgSO4*Citrate,0.008,0.98212
nostoc_C,MgSO4,27.202,0
nostoc_C,CaCl2,12.609,0
nostoc_C,MgSO4*MgSO4,9.995,0
nostoc_C,NaNO3*Trace elements,5.899,0
nostoc_C,K2HPO4,3.938,0.00012
nostoc_C,NaNO3*K2HPO4,3.854,0.00014
nostoc_C,Trace elements,3.034,0.00092
nostoc_C,K2HPO4*CaCl2,2.991,0.00102
nostoc_C,K2HPO4*MgSO4,2.88,0.00132
