measurement_ID,row,column,value,well,wavelength,gossypetin,condition,solution
335 nm,B,03,0.283556,B03,335,0,UTEX 2973,BG11
335 nm,C,03,0.272342,C03,335,0,UTEX 2973,BG11
335 nm,D,03,0.282354,D03,335,0,UTEX 2973,BG11
335 nm,E,03,0.193313,E03,335,0,BG11,BG11
335 nm,F,03,0.188376,F03,335,0,BG11,BG11
335 nm,G,03,0.19078,G03,335,0,BG11,BG11
336 nm,B,03,0.279147,B03,336,0,UTEX 2973,BG11
336 nm,C,03,0.268024,C03,336,0,UTEX 2973,BG11
336 nm,D,03,0.277938,D03,336,0,UTEX 2973,BG11
336 nm,E,03,0.189006,E03,336,0,BG11,BG11
336 nm,F,03,0.184371,F03,336,0,BG11,BG11
336 nm,G,03,0.186712,G03,336,0,BG11,BG11
337 nm,B,03,0.274785,B03,337,0,UTEX 2973,BG11
337 nm,C,03,0.26386,C03,337,0,UTEX 2973,BG11
337 nm,D,03,0.27363,D03,337,0,UTEX 2973,BG11
337 nm,E,03,0.185037,E03,337,0,BG11,BG11
337 nm,F,03,0.180381,F03,337,0,BG11,BG11
337 nm,G,03,0.182701,G03,337,0,BG11,BG11
338 nm,B,03,0.269599,B03,338,0,UTEX 2973,BG11
338 nm,C,03,0.258903,C03,338,0,UTEX 2973,BG11
338 nm,D,03,0.268586,D03,338,0,UTEX 2973,BG11
338 nm,E,03,0.180338,E03,338,0,BG11,BG11
338 nm,F,03,0.175878,F03,338,0,BG11,BG11
338 nm,G,03,0.178155,G03,338,0,BG11,BG11
339 nm,B,03,0.266052,B03,339,0,UTEX 2973,BG11
339 nm,C,03,0.255676,C03,339,0,UTEX 2973,BG11
339 nm,D,03,0.26508,D03,339,0,UTEX 2973,BG11
339 nm,E,03,0.177023,E03,339,0,BG11,BG11
339 nm,F,03,0.172483,F03,339,0,BG11,BG11
339 nm,G,03,0.174816,G03,339,0,BG11,BG11
340 nm,B,03,0.262604,B03,340,0,UTEX 2973,BG11
340 nm,C,03,0.2523,C03,340,0,UTEX 2973,BG11
340 nm,D,03,0.261697,D03,340,0,UTEX 2973,BG11
340 nm,E,03,0.173597,E03,340,0,BG11,BG11
340 nm,F,03,0.169186,F03,340,0,BG11,BG11
340 nm,G,03,0.171515,G03,340,0,BG11,BG11
341 nm,B,03,0.25949,B03,341,0,UTEX 2973,BG11
341 nm,C,03,0.249465,C03,341,0,UTEX 2973,BG11
341 nm,D,03,0.258739,D03,341,0,UTEX 2973,BG11
341 nm,E,03,0.170382,E03,341,0,BG11,BG11
341 nm,F,03,0.166058,F03,341,0,BG11,BG11
341 nm,G,03,0.168346,G03,341,0,BG11,BG11
342 nm,B,03,0.256399,B03,342,0,UTEX 2973,BG11
342 nm,C,03,0.246434,C03,342,0,UTEX 2973,BG11
342 nm,D,03,0.255788,D03,342,0,UTEX 2973,BG11
342 nm,E,03,0.167136,E03,342,0,BG11,BG11
342 nm,F,03,0.162919,F03,342,0,BG11,BG11
342 nm,G,03,0.165171,G03,342,0,BG11,BG11
343 nm,B,03,0.253611,B03,343,0,UTEX 2973,BG11
343 nm,C,03,0.243797,C03,343,0,UTEX 2973,BG11
343 nm,D,03,0.253049,D03,343,0,UTEX 2973,BG11
343 nm,E,03,0.164128,E03,343,0,BG11,BG11
343 nm,F,03,0.159954,F03,343,0,BG11,BG11
343 nm,G,03,0.16220300000000001,G03,343,0,BG11,BG11
344 nm,B,03,0.250688,B03,344,0,UTEX 2973,BG11
344 nm,C,03,0.241097,C03,344,0,UTEX 2973,BG11
344 nm,D,03,0.25033300000000003,D03,344,0,UTEX 2973,BG11
344 nm,E,03,0.161166,E03,344,0,BG11,BG11
344 nm,F,03,0.157082,F03,344,0,BG11,BG11
344 nm,G,03,0.159341,G03,344,0,BG11,BG11
345 nm,B,03,0.247476,B03,345,0,UTEX 2973,BG11
345 nm,C,03,0.238009,C03,345,0,UTEX 2973,BG11
345 nm,D,03,0.247096,D03,345,0,UTEX 2973,BG11
345 nm,E,03,0.157914,E03,345,0,BG11,BG11
345 nm,F,03,0.153952,F03,345,0,BG11,BG11
345 nm,G,03,0.156021,G03,345,0,BG11,BG11
346 nm,B,03,0.244856,B03,346,0,UTEX 2973,BG11
346 nm,C,03,0.235505,C03,346,0,UTEX 2973,BG11
346 nm,D,03,0.244528,D03,346,0,UTEX 2973,BG11
346 nm,E,03,0.155175,E03,346,0,BG11,BG11
346 nm,F,03,0.151327,F03,346,0,BG11,BG11
346 nm,G,03,0.153467,G03,346,0,BG11,BG11
347 nm,B,03,0.242598,B03,347,0,UTEX 2973,BG11
347 nm,C,03,0.233407,C03,347,0,UTEX 2973,BG11
347 nm,D,03,0.24242,D03,347,0,UTEX 2973,BG11
347 nm,E,03,0.152967,E03,347,0,BG11,BG11
347 nm,F,03,0.149067,F03,347,0,BG11,BG11
347 nm,G,03,0.15123,G03,347,0,BG11,BG11
348 nm,B,03,0.240381,B03,348,0,UTEX 2973,BG11
348 nm,C,03,0.231321,C03,348,0,UTEX 2973,BG11
348 nm,D,03,0.240358,D03,348,0,UTEX 2973,BG11
348 nm,E,03,0.150649,E03,348,0,BG11,BG11
348 nm,F,03,0.14675,F03,348,0,BG11,BG11
348 nm,G,03,0.148933,G03,348,0,BG11,BG11
349 nm,B,03,0.238286,B03,349,0,UTEX 2973,BG11
349 nm,C,03,0.229385,C03,349,0,UTEX 2973,BG11
349 nm,D,03,0.23827,D03,349,0,UTEX 2973,BG11
349 nm,E,03,0.148435,E03,349,0,BG11,BG11
349 nm,F,03,0.144681,F03,349,0,BG11,BG11
349 nm,G,03,0.146872,G03,349,0,BG11,BG11
350 nm,B,03,0.236102,B03,350,0,UTEX 2973,BG11
350 nm,C,03,0.227238,C03,350,0,UTEX 2973,BG11
350 nm,D,03,0.236117,D03,350,0,UTEX 2973,BG11
350 nm,E,03,0.146148,E03,350,0,BG11,BG11
350 nm,F,03,0.142436,F03,350,0,BG11,BG11
350 nm,G,03,0.14458,G03,350,0,BG11,BG11
351 nm,B,03,0.233955,B03,351,0,UTEX 2973,BG11
351 nm,C,03,0.225313,C03,351,0,UTEX 2973,BG11
351 nm,D,03,0.234142,D03,351,0,UTEX 2973,BG11
351 nm,E,03,0.144026,E03,351,0,BG11,BG11
351 nm,F,03,0.140433,F03,351,0,BG11,BG11
351 nm,G,03,0.142648,G03,351,0,BG11,BG11
352 nm,B,03,0.231221,B03,352,0,UTEX 2973,BG11
352 nm,C,03,0.222668,C03,352,0,UTEX 2973,BG11
352 nm,D,03,0.231421,D03,352,0,UTEX 2973,BG11
352 nm,E,03,0.141195,E03,352,0,BG11,BG11
352 nm,F,03,0.137641,F03,352,0,BG11,BG11
352 nm,G,03,0.139783,G03,352,0,BG11,BG11
353 nm,B,03,0.229039,B03,353,0,UTEX 2973,BG11
353 nm,C,03,0.220739,C03,353,0,UTEX 2973,BG11
353 nm,D,03,0.229401,D03,353,0,UTEX 2973,BG11
353 nm,E,03,0.138864,E03,353,0,BG11,BG11
353 nm,F,03,0.135385,F03,353,0,BG11,BG11
353 nm,G,03,0.137518,G03,353,0,BG11,BG11
354 nm,B,03,0.226879,B03,354,0,UTEX 2973,BG11
354 nm,C,03,0.218526,C03,354,0,UTEX 2973,BG11
354 nm,D,03,0.227207,D03,354,0,UTEX 2973,BG11
354 nm,E,03,0.13636,E03,354,0,BG11,BG11
354 nm,F,03,0.132932,F03,354,0,BG11,BG11
354 nm,G,03,0.135082,G03,354,0,BG11,BG11
355 nm,B,03,0.224695,B03,355,0,UTEX 2973,BG11
355 nm,C,03,0.216476,C03,355,0,UTEX 2973,BG11
355 nm,D,03,0.22523,D03,355,0,UTEX 2973,BG11
355 nm,E,03,0.133933,E03,355,0,BG11,BG11
355 nm,F,03,0.13065,F03,355,0,BG11,BG11
355 nm,G,03,0.132724,G03,355,0,BG11,BG11
356 nm,B,03,0.222565,B03,356,0,UTEX 2973,BG11
356 nm,C,03,0.214376,C03,356,0,UTEX 2973,BG11
356 nm,D,03,0.223056,D03,356,0,UTEX 2973,BG11
356 nm,E,03,0.131424,E03,356,0,BG11,BG11
356 nm,F,03,0.128286,F03,356,0,BG11,BG11
356 nm,G,03,0.130305,G03,356,0,BG11,BG11
357 nm,B,03,0.220467,B03,357,0,UTEX 2973,BG11
357 nm,C,03,0.212515,C03,357,0,UTEX 2973,BG11
357 nm,D,03,0.221246,D03,357,0,UTEX 2973,BG11
357 nm,E,03,0.129149,E03,357,0,BG11,BG11
357 nm,F,03,0.126102,F03,357,0,BG11,BG11
357 nm,G,03,0.128101,G03,357,0,BG11,BG11
358 nm,B,03,0.218276,B03,358,0,UTEX 2973,BG11
358 nm,C,03,0.210501,C03,358,0,UTEX 2973,BG11
358 nm,D,03,0.219133,D03,358,0,UTEX 2973,BG11
358 nm,E,03,0.126779,E03,358,0,BG11,BG11
358 nm,F,03,0.123696,F03,358,0,BG11,BG11
358 nm,G,03,0.125809,G03,358,0,BG11,BG11
359 nm,B,03,0.215775,B03,359,0,UTEX 2973,BG11
359 nm,C,03,0.208136,C03,359,0,UTEX 2973,BG11
359 nm,D,03,0.216756,D03,359,0,UTEX 2973,BG11
359 nm,E,03,0.124178,E03,359,0,BG11,BG11
359 nm,F,03,0.121136,F03,359,0,BG11,BG11
359 nm,G,03,0.123252,G03,359,0,BG11,BG11
360 nm,B,03,0.213755,B03,360,0,UTEX 2973,BG11
360 nm,C,03,0.206187,C03,360,0,UTEX 2973,BG11
360 nm,D,03,0.214785,D03,360,0,UTEX 2973,BG11
360 nm,E,03,0.121958,E03,360,0,BG11,BG11
360 nm,F,03,0.118927,F03,360,0,BG11,BG11
360 nm,G,03,0.121009,G03,360,0,BG11,BG11
361 nm,B,03,0.211511,B03,361,0,UTEX 2973,BG11
361 nm,C,03,0.204176,C03,361,0,UTEX 2973,BG11
361 nm,D,03,0.212704,D03,361,0,UTEX 2973,BG11
361 nm,E,03,0.119325,E03,361,0,BG11,BG11
361 nm,F,03,0.116412,F03,361,0,BG11,BG11
361 nm,G,03,0.118506,G03,361,0,BG11,BG11
362 nm,B,03,0.209424,B03,362,0,UTEX 2973,BG11
362 nm,C,03,0.202201,C03,362,0,UTEX 2973,BG11
362 nm,D,03,0.21071,D03,362,0,UTEX 2973,BG11
362 nm,E,03,0.117009,E03,362,0,BG11,BG11
362 nm,F,03,0.114177,F03,362,0,BG11,BG11
362 nm,G,03,0.116231,G03,362,0,BG11,BG11
363 nm,B,03,0.207434,B03,363,0,UTEX 2973,BG11
363 nm,C,03,0.200364,C03,363,0,UTEX 2973,BG11
363 nm,D,03,0.20896700000000001,D03,363,0,UTEX 2973,BG11
363 nm,E,03,0.114975,E03,363,0,BG11,BG11
363 nm,F,03,0.112117,F03,363,0,BG11,BG11
363 nm,G,03,0.114298,G03,363,0,BG11,BG11
364 nm,B,03,0.20562,B03,364,0,UTEX 2973,BG11
364 nm,C,03,0.198627,C03,364,0,UTEX 2973,BG11
364 nm,D,03,0.207093,D03,364,0,UTEX 2973,BG11
364 nm,E,03,0.112896,E03,364,0,BG11,BG11
364 nm,F,03,0.11017,F03,364,0,BG11,BG11
364 nm,G,03,0.112328,G03,364,0,BG11,BG11
365 nm,B,03,0.203555,B03,365,0,UTEX 2973,BG11
365 nm,C,03,0.196818,C03,365,0,UTEX 2973,BG11
365 nm,D,03,0.205211,D03,365,0,UTEX 2973,BG11
365 nm,E,03,0.110696,E03,365,0,BG11,BG11
365 nm,F,03,0.107881,F03,365,0,BG11,BG11
365 nm,G,03,0.110179,G03,365,0,BG11,BG11
366 nm,B,03,0.202018,B03,366,0,UTEX 2973,BG11
366 nm,C,03,0.195239,C03,366,0,UTEX 2973,BG11
366 nm,D,03,0.203676,D03,366,0,UTEX 2973,BG11
366 nm,E,03,0.108723,E03,366,0,BG11,BG11
366 nm,F,03,0.106008,F03,366,0,BG11,BG11
366 nm,G,03,0.1083,G03,366,0,BG11,BG11
367 nm,B,03,0.200193,B03,367,0,UTEX 2973,BG11
